1,1,1
2,2,3
3,3,1
4,3,3
5,3,15
6,3,27
7,4,4
8,4,16
9,5,5
10,5,3
11,5,18
12,5,19
13,5,8
14,5,28
15,5,22
16,6,5
17,6,16
18,6,22
19,6,21
20,6,8
21,6,7
22,7,5
23,7,6
24,7,7
25,7,8
26,7,9
27,7,3
28,7,18
29,7,22
30,7,21
31,8,3
32,8,5
33,8,6
34,8,9
35,8,17
36,8,22
37,9,3
38,9,7
39,9,14
40,10,3
41,10,16
42,10,4
43,11,3
44,11,9
45,11,12
46,11,17
47,11,20
48,11,23
49,11,25
50,12,3
51,12,6
52,12,7
53,12,14
54,13,3
55,13,6
56,13,9
57,13,14
58,13,17
59,14,3
60,14,7
61,14,9
62,14,14
63,15,3
64,15,14
65,15,4
66,15,26
67,15,8
68,16,3
69,16,2
70,16,7
71,16,8
72,16,10
73,16,15
74,16,21
75,16,27
76,17,14
77,17,1
78,17,21
79,17,19
80,17,2
81,18,1
82,19,12
83,19,13
84,19,3
85,19,23
86,20,10
87,20,23
88,21,11
